client_001,baseline,spp ,ppf,ipcp l1d,ipcp ,bingo 
L1I,0.05540698269,0.05425635214,0.05268834076,0.05484272898,0.05394399657,0.05187320085
L1D,0.9308427467,0.9115120407,0.8851692956,0.9213632291,0.9062644364,0.8714748652
L2C,0.0006726044698,0.0006586365689,0.000639601938,0.0006657547995,0.0006548447769,0.0006297066736
LLC,0.0009474788765,0.001141284336,0.0008145408323,0.0008928618209,0.0007852872129,0.0008707485031
Interconnect,0,0,0,0,0,0
DRAM,0.01208361949,0.05916340165,0.05745357629,0.05980281154,0.05882279604,0.05656471355
TLBs,4.65677388E-05,4.667692129E-05,4.683241562E-05,5.407559791E-05,5.42903847E-05,4.675639893E-05
Prefetcher,0,1.076762817E-05,6.13383239E-05,0.0004821271083,0.0006206562509,0.0001322959737
server_013,baseline,spp ,ppf,ipcp l1d,ipcp ,bingo 
L1I,0.05512195615,0.05446746598,0.05578272714,0.05495908593,0.05411972892,0.05304843922
L1D,0.9260542729,0.915058774,0.9371552905,0.9233180374,0.9092167572,0.8912189851
L2C,0.003345722172,0.01487698543,0.01523622963,0.003335836484,0.01478200618,0.003219866487
LLC,0.003398285427,0.0203908202,0.0179276263,0.003423521294,0.01498828402,0.003172817983
Interconnect,0,0,0,0,0,0
DRAM,0.01202145851,0.01187872181,0.06082782496,0.01198593841,0.01180288439,0.01156924855
TLBs,5.830479562E-05,5.829164014E-05,5.824964088E-05,6.011851851E-05,6.018180894E-05,5.841586248E-05
Prefetcher,0,0.0002432143233,0.001461166286,0.0004831500123,0.0006226781512,0.0006764663454
server_026,baseline,spp ,ppf,ipcp l1d,ipcp ,bingo 
L1I,0.05524220968,0.05527586478,0.05642786075,0.05491360489,0.05533832492,0.05468893555
L1D,0.9280745441,0.928639953,0.9479935984,0.9225539514,0.9296892895,0.9187794845
L2C,0.003353021168,0.01509778765,0.01541243837,0.003333075933,0.01511484771,0.01493747658
LLC,0.001218493012,0.01210770151,0.01207448061,0.001297553639,0.007906186094,0.005440413848
Interconnect,0,0,0,0,0,0
DRAM,0.01204768441,0.0120550242,0.01230626114,0.01197601952,0.01206864603,0.01192702175
TLBs,6.404764648E-05,6.396008998E-05,6.379551679E-05,7.039034875E-05,7.071479725E-05,6.422215837E-05
Prefetcher,0,0.0002468240776,0.001478064841,0.0004827501845,0.0006366987888,0.003138235773
server_032,baseline,spp ,ppf,ipcp l1d,ipcp ,bingo 
L1I,0.05528081435,0.05511055861,0.05562273758,0.05490868222,0.05510242474,0.05478921111
L1D,0.9287231062,0.9258627932,0.9344674501,0.92247125,0.9257261434,0.9204641237
L2C,0.003355364344,0.01505263671,0.01519253084,0.01499749714,0.01505041506,0.01496486537
LLC,0.0005140292883,0.009792952204,0.009530448311,0.002419484774,0.004527510685,0.002446434189
Interconnect,0,0,0,0,0,0
DRAM,0.01205610364,0.01201897284,0.01213067313,0.01197494594,0.01201719894,0.01194889068
TLBs,7.058213692E-05,7.059826761E-05,7.158646706E-05,7.43601249E-05,7.456632485E-05,7.077960629E-05
Prefetcher,0,0.0002460859337,0.001456975538,0.0004827069089,0.0006339846235,0.003143989923
bwaves-891B,baseline,spp ,ppf,ipcp l1d,ipcp ,bingo 
L1I,0.0527792654,0.05253321057,0.05252900596,0.05252475437,0.05252470319,0.05253019222
L1D,0.8866968385,0.8825630932,0.8824924553,0.8824210281,0.8824201683,0.8825123845
L2C,0.0006407057036,0.01434867208,0.003188338589,0.0006376161064,0.01434634841,0.0006376821183
LLC,0.002306905574,0.05005394648,0.008409877205,0.002300987374,0.01969981746,0.001748210067
Interconnect,0,0,0,0,0,0
DRAM,0.05755272433,0.2577798712,0.2577592392,0.2577383767,0.2577381256,0.2577650602
TLBs,2.356049556E-05,2.473015715E-05,2.485744899E-05,3.828991521E-05,3.828770648E-05,2.484182503E-05
Prefetcher,0,0.0002345772661,0.0003057641534,0.0004617495958,0.0006043264763,0.0001339715463
end:,,,,,,
